title,summary,supporting_text
High Borrowing Costs and Weak Growth Prospects Putting Pressure on Corporate Balance Sheets,The document notes that high borrowing costs and weak growth prospects are putting pressure on corporate balance sheets. This is particularly concerning for commercial real estate firms and SMEs.,"""High funding costs and weak economic growth continue to affect corporate balance sheets, especially of commercial real estate (CRE) firms and SMEs"" (Page 11); ""The debt servicing capacity of SMEs appears to be particularly vulnerable to a slowdown in economic activity and higher borrowing costs"" (Page 11); ""The credit risk outlook for corporate and household portfolios remains tilted to the downside, given weak macro-financial conditions, downside risks to economic growth and the"" (Page 12)"
Market Volatility and Liquidity Fragilities in Non-Bank Financial Intermediaries (NBFI),"The document highlights that financial markets remain vulnerable to adverse dynamics, which could be amplified by non-bank liquidity fragilities. This includes stretched valuations and risk concentration in equity markets, as well as liquidity mismatches and high leverage in parts of the NBFI sector.","""Financial markets remain vulnerable to adverse dynamics which could be amplified by non-bank liquidity fragilities"" (Page 7); ""High valuations and risk concentration render financial markets susceptible to sudden, sharp adjustments, notably in equity markets"" (Page 7); ""Vulnerabilities related to liquidity mismatch and leverage in parts of the NBFI sector could amplify market-wide shocks due to forced asset sales"" (Page 5)"
Adverse Global Spillovers to Euro Area Financial Markets,"The document identifies a high risk of adverse global spillovers to euro area financial markets. This is due to the interconnectedness of global financial markets and the potential for shocks originating in other regions, such as the United States and China, to impact the euro area.","""High risk of adverse global spillovers to euro area financial markets"" (Page 2); ""A growing share of US investments, notably in US-based technology firms, makes non-bank equity portfolios more susceptible to global spillovers"" (Page 5); ""Uncertainty stemming from geopolitical tensions and economic policies remains elevated. Russia's war against Ukraine and the conflict in the Middle East continue to be the major sources of geopolitical risk. A further escalation of the tensions could have a considerable adverse impact on euro area growth"" (Page 16)"
Deteriorating Asset Quality and Increasing Provisioning Needs in the Banking Sector,"The document states that asset quality is deteriorating slowly, and provisioning needs are likely to increase in the euro area banking sector. This is driven by the most fragile credit segments, including commercial real estate, SMEs, and consumer credit.","""Asset quality is deteriorating slowly and provisioning needs are likely to increase"" (Page 2); ""Aggregate asset quality is continuing to deteriorate slowly from the historically low levels of non-performing loan (NPL) ratios, driven by the most fragile credit segments"" (Page 52); ""CRE and consumer credit segments have deteriorated, but exposures are contained in aggregate"" (Page 53)"
Weak Productivity and its Impact on Financial Stability,"The document discusses the issue of low firm productivity and its impact on financial stability. It highlights that the supply of bank credit has tilted more towards less-productive firms in recent years, which is a concern.","""Low firm productivity: the role of finance and the implications for financial stability"" (Page 3); ""Overall, the supply of bank credit has tilted more towards less-productive firms in recent years"" (Page 116); ""These findings beg the question as to whether more-productive firms have been to some degree crowded out, to the detriment of economic growth and resilience"" (Page 116)

**Risk Title:** Valuation Pressures in Asset Markets
**Summary:** Asset prices are high relative to economic fundamentals or historical norms, driven by investors' increased risk appetite. This can lead to outsized drops in asset prices.
**Supporting Text:** ""Valuation pressures arise when asset prices are high relative to economic fundamentals or historical norms. These developments are often driven by an increased willingness of investors to take on risk. As such, elevated valuation pressures may increase the possibility of outsized drops in asset prices (see Section 1, Asset Valuations)"""
Excessive Borrowing by Businesses and Households,"High debt burdens can lead to businesses and households cutting back spending if incomes decline or assets fall in value, affecting economic activity and causing losses for investors.","""Excessive borrowing by businesses and households exposes the borrowers to distress if their incomes decline or the assets they own fall in value. In these cases, businesses and households with high debt burdens may need to cut back spending, affecting economic activity and causing losses for investors (see Section 2, Borrowing by Businesses and Households)"""
Excessive Leverage in the Financial Sector,High leverage in the financial sector increases the risk that financial institutions will not be able to absorb losses without disrupting normal business operations when hit by adverse shocks. This can lead to reduced lending and further economic weakness.,"""Excessive leverage within the financial sector increases the risk that financial institutions will not have the ability to absorb losses without disruptions to their normal business operations when hit by adverse shocks. In those situations, institutions will be forced to cut back lending, sell their assets, or even shut down. Such responses can impair credit access for households and businesses, further weakening economic activity (see Section 3, Leverage in the Financial Sector)"""
Funding Risks,"Investors may rapidly withdraw funds from a particular institution or sector, creating strains across markets. This can lead to fire sales of assets, losses, and potential insolvency.","""Funding risks expose the financial system to the possibility that investors will rapidly withdraw their funds from a particular institution or sector, creating strains across markets or institutions. Many financial institutions raise funds from the public with a commitment to return their investors' money on short notice, but those institutions then invest much of those funds in assets that are hard to sell quickly or have a long maturity"""
Near-Term Risks to the Financial System,The report identifies plausible adverse developments or shocks that could stress the U.S. financial system.,"""The Federal Reserve's monitoring framework also tracks domestic and international developments to identify near-term risks—that is, plausible adverse developments or shocks that could stress the U.S. financial system"""
U.S. Fiscal Debt Sustainability,Concerns over U.S. fiscal debt sustainability was the top-cited risk. It was noted that increased Treasury issuance could begin to crowd out private investment or constrain policy responses in an economic downturn.,"""Concerns over U.S. fiscal debt sustainability was the top-cited risk. It was noted that increased Treasury issuance could begin to crowd out private investment or constrain policy responses in an economic downturn"""
Middle East Tensions,"Respondents noted the most immediate risk in Middle East tensions would be a widening of the conflict within the region, with some highlighting a tail risk that it could become a global conflict. Disruptions to energy supplies, and potentially broader commodity markets, are seen as the main channels impacting financial stability.","""Respondents noted the most immediate risk in Middle East tensions would be a widening of the conflict within the region, with some highlighting a tail risk that it could become a global conflict. Disruptions to energy supplies, and potentially broader commodity markets, are seen as the main channels impacting financial stability"""
Policy Uncertainty,Contacts noted elevated policy uncertainty can depress sentiment. The need to raise the federal debt limit next year was specifically cited by respondents as a potential watchpoint.,"""Contacts noted elevated policy uncertainty can depress sentiment. The need to raise the federal debt limit next year was specifically cited by respondents as a potential watchpoint"""
U.S. Recession,Contacts cited the potential for a U.S. economic downturn more often than in the previous survey. It was noted by some respondents that there may be more underlying weakness in the labor market than currently believed.,"""Contacts cited the potential for a U.S. economic downturn more often than in the previous survey. It was noted by some respondents that there may be more underlying weakness in the labor market than currently believed"""
Persistent Inflation and Monetary Tightening,"Elevated inflation and the implications of tighter monetary policy, which had been the top-cited risk recently, was less cited this round. The respondents who continued to flag it as a risk noted that while the inflation data had improved, there continued to be some chance that it would take longer than expected to return to a dual-mandate-consistent level.","""Elevated inflation and the implications of tighter monetary policy, which had been the top-cited risk recently, was less cited this round. The respondents who continued to flag it as a risk noted that while the inflation data had improved, there continued to be some chance that it would take longer than expected to return to a dual-mandate-consistent level"""
Risks to Global Trade,"Risks to global trade were specifically cited in this survey, with some respondents noting the potential for tariff barriers to prompt retaliatory protectionist policies that would negatively affect global trade flows and put renewed upward pressure on inflation. Others noted that a deterioration in global trade could depress economic activity and raise the risk of a downturn.","""Risks to global trade were specifically cited in this survey, with some respondents noting the potential for tariff barriers to prompt retaliatory protectionist policies that would negatively affect global trade flows and put renewed upward pressure on inflation. Others noted that a deterioration in global trade could depress economic activity and raise the risk of a downturn"""
Market Liquidity,"Low market liquidity can amplify the volatility of asset prices and result in larger price moves in response to shocks. In extreme cases, low liquidity can threaten continued market functioning, leading to a situation in which participants are unable to trade without incurring a significant cost.","""Market liquidity refers to the ease of buying and selling an asset. Low liquidity can amplify the volatility of asset prices and result in larger price moves in response to shocks. In extreme cases, low liquidity can threaten continued market functioning, leading to a situation in which participants are unable to trade without incurring a significant cost"""
Commercial Real Estate (CRE) Market Deterioration,Transaction-based prices for commercial properties changed little but fundamentals deteriorated across multiple sectors.,"""Transaction-based prices for commercial properties changed little but fundamentals deteriorated across multiple sectors"""
Delinquencies at Small Businesses,Delinquency rates for small business loans have risen from the historically low levels reached in spring 2022 to above their pre-pandemic levels.,"""Small business credit quality has deteriorated in recent quarters, as both short-term (up to 90 days) and long-term (more than 90 days) delinquency rates rose from the historically low levels reached in spring 2022 to above their pre-pandemic levels"""
Delinquencies in Credit Card and Auto Loans,Delinquency rates for credit cards and auto loans to nonprime borrowers were above their pre-pandemic levels.,"""That said, delinquency rates for credit cards and auto loans to nonprime borrowers were above their pre-pandemic levels"""
Deterioration in CRE Market,"Delinquency rates in CRE loans backed by office properties increased further at large banks in the first half of 2024, as the adjustment to new patterns of work continued to put downward pressure on prices and operating income of office buildings.","""Most notably, delinquency rates in CRE loans backed by office properties increased further at large banks in the first half of 2024, as the adjustment to new patterns of work continued to put downward pressure on prices and operating income of office buildings"""
High Leverage in Hedge Funds,Measures of hedge fund leverage that account for hedge fund size were at or near the highest level observed since the data became available in 2013.,"""In the first quarter of 2024, measures of hedge fund leverage that account for hedge fund size were at or near the highest level observed since the data became available in 2013"""
Vulnerability of Stablecoins to Runs,Stablecoins are structurally vulnerable to runs and lack a comprehensive federal prudential regulatory framework.,"""These digital assets are structurally vulnerable to runs and lack a comprehensive federal prudential regulatory framework"""
Reliance on Funding from Nontraditional Liabilities,Life insurers continued to be exposed to funding risks due to their reliance on funding from nontraditional liabilities.,"""Meanwhile, life insurers continued to be exposed to funding risks due to their reliance on funding from nontraditional liabilities"""
Cyberattacks,"Shocks caused by cyber events, especially cyberattacks, may propagate through the financial system through complex interdependencies among financial institutions, market infrastructure, and service providers.","""Shocks caused by cyber events, especially cyberattacks, may propagate through the financial system through complex interdependencies among financial institutions, market infrastructure, and service providers"""
